wmask fmask
5494.883581 0.179
5496.5596829999995 0.103
5497.518003 0.782
5402.780387 0.125
5407.432501 0.327
5409.139464 0.458
5409.7938859999995 0.819
5410.915396 0.716
5412.789856 0.183
5413.676503000001 0.165
5414.074012 0.257
5415.205647000001 0.751
5418.7719369999995 0.433
5419.170631999999 0.037
5420.358998 0.407
5420.9355 0.17
5421.172203 0.274
5421.844916 0.12
5422.156943 0.108
5424.076809 0.783
5424.642752 0.378
5425.253173 0.361
5427.809046 0.045
5432.952171000001 0.557
5434.530703 0.856
5435.8603650000005 0.462
5437.190366 0.181
5441.344008 0.285
5445.047609 0.706
5446.920536 0.867
5352.046042 0.206
5353.3871899999995 0.643
5359.2014469999995 0.093
5361.621665000001 0.343
5362.845773999999 0.587
5364.876606 0.705
5365.404105 0.627
5367.474243000001 0.736
5369.968067 0.749
5371.495140999999 0.864
5373.712832 0.521
5376.834459 0.163
5377.614292 0.344
5379.580232 0.544
5380.324715999999 0.137
5381.026938999999 0.494
5383.375871 0.777
5386.335959 0.313
5386.970617 0.223
5387.508006 0.21
5389.48403 0.632
5389.982442 0.067
5390.417354 0.11
5391.461471 0.561
5392.33573 0.126
5393.172848 0.749
5394.674086 0.512
5395.220317 0.2
5396.252669 0.105
5396.584559999999 0.094
5301.3223 0.037
5302.305060000001 0.76
5304.183633000001 0.152
5305.868297 0.235
5307.362225 0.68
5308.4317360000005 0.226
5310.694116000001 0.121
5312.86028 0.185
5313.583536 0.296
5315.073843 0.305
5316.634191 0.69
5318.3581859999995 0.122
5318.767743 0.148
5319.8136589999995 0.11
5320.041098 0.2
5321.112691 0.373
5322.046877 0.56
5325.276141 0.099
5325.558639000001 0.386
5326.147554 0.342
5326.820681 0.137
5327.265063000001 0.08
5329.145716 0.547
5329.991415 0.492
5331.4635180000005 0.133
5333.738916 0.049
5334.294207999999 0.037
5334.869608 0.292
5336.790472000001 0.588
5337.747491 0.278
5339.933922 0.764
5340.447709 0.15
5341.040096000001 0.818
5342.704926 0.29
5345.805692 0.807
5346.073109999999 0.094
5253.025683 0.201
5253.466544 0.631
5255.724558 0.253
5256.9398249999995 0.19
5257.642376 0.206
5259.471851 0.081
5260.3864140000005 0.307
5261.706695 0.712
5262.224018000001 0.732
5262.624551999999 0.113
5262.886058 0.19
5263.311404 0.743
5264.1890060000005 0.835
5264.808772 0.425
5265.562382 0.745
5265.9770690000005 0.362
5266.560176 0.823
5267.275459 0.249
5268.3392810000005 0.321
5268.605347999999 0.266
5269.546317 0.882
5270.327602 0.882
5272.004757000001 0.236
5272.379959 0.099
5278.952751 0.045
5279.880639999999 0.186
5280.3470290000005 0.426
5281.79341 0.775
5283.624723999999 0.787
5284.1096959999995 0.504
5284.423135 0.247
5285.130138 0.263
5288.531720999999 0.522
5293.151512 0.106
5293.965389999999 0.289
5294.550445 0.154
5295.3155019999995 0.278
5295.782206 0.131
5296.077713000001 0.044
5204.539446000001 0.905
5206.045099 0.883
5206.805442999999 0.071
5208.436317 0.886
5209.88354 0.118
5210.390558 0.73
5210.855984 0.099
5211.535400999999 0.315
5212.69096 0.144
5213.808806999999 0.081
5214.615965 0.208
5215.186828 0.744
5216.278755 0.809
5216.4684099999995 0.251
5217.393136000001 0.731
5217.911317 0.398
5218.206491 0.463
5219.700934 0.268
5220.081777 0.148
5220.291206 0.259
5220.904121 0.098
5221.758335 0.279
5222.407078 0.193
5223.187023 0.3
5223.621098 0.136
5224.308994999999 0.405
5224.545936 0.248
5224.94358 0.445
5225.531671999999 0.693
5226.87151 0.811
5227.187696 0.875
5228.381615 0.506
5229.856763 0.758
5230.214473 0.255
5232.946865 0.841
5234.194165999999 0.07
5234.629276 0.646
5235.4056120000005 0.596
5236.2066030000005 0.333
5236.395579 0.089
5237.325315 0.448
5238.965872000001 0.173
5239.8235970000005 0.478
5240.376578 0.071
5242.496961 0.695
5243.362507 0.194
5243.780527 0.536
5245.721099 0.07
5246.773142 0.151
5247.056291999999 0.65
5157.651624 0.117
5157.985886 0.198
5159.061636 0.571
5159.9509880000005 0.052
5161.180799 0.134
5162.284001 0.762
5164.940037 0.241
5165.414978000001 0.649
5166.278702 0.793
5172.693841 0.914
5176.562209 0.503
5179.118701 0.153
5180.064333 0.424
5183.614858 0.924
5185.907027 0.576
5186.556087 0.205
5187.911746 0.47
5191.461518 0.812
5192.973422 0.691
5194.947593000001 0.824
5195.475775999999 0.699
5196.0634549999995 0.59
5197.1658879999995 0.248
5197.574938 0.624
5197.93986 0.334
5198.715975 0.749
5112.274461 0.088
5113.18624 0.142
5119.128688000001 0.169
5121.629417 0.622
5123.728666 0.802
5124.616548 0.197
5125.133744000001 0.734
5126.193549 0.57
5130.362972999999 0.229
5132.6713899999995 0.239
5133.695437 0.778
5136.091866000001 0.207
5141.743177 0.685
5143.724835999999 0.232
5144.661077000001 0.194
5145.100292 0.511
5145.466313 0.365
5146.487246 0.65
5147.483168 0.399
5148.230876 0.646
5148.668362 0.118
5150.187013 0.173
5150.856793999999 0.801
5152.188195 0.383
5065.958989999999 0.243
5067.153913 0.601
5067.734085 0.281
5068.770017000001 0.785
5069.410809 0.151
5071.489908 0.276
5072.079399 0.639
5074.7541280000005 0.753
5076.279245 0.608
5076.617806 0.152
5080.5355469999995 0.726
5081.575921 0.095
5081.844597 0.105
5082.347379 0.56
5084.100823000001 0.665
5084.555328 0.104
5085.487196 0.221
5087.058886999999 0.253
5088.153325 0.339
5088.541308 0.294
5088.960974 0.276
5090.78011 0.672
5091.881022 0.117
5092.808924 0.074
5094.413637 0.309
5094.948603000001 0.134
5096.994525 0.671
5098.684494 0.748
5099.079335 0.484
5099.327212 0.564
5099.930705000001 0.64
5100.65926 0.19
5100.882437 0.148
5102.969379 0.442
5104.031813 0.299
5104.189111 0.263
5104.443486 0.343
5105.540983 0.703
5023.846386 0.054
5024.846622999999 0.629
5028.130111 0.663
5029.621057 0.476
5031.021817 0.646
5031.920249 0.242
5032.72527 0.22
5035.3668959999995 0.719
5035.938724 0.739
5036.468516999999 0.629
5036.923584 0.27
5038.403935 0.58
5039.265406 0.652
5039.962637 0.688
5040.255723 0.11
5043.588011 0.182
5044.215943 0.64
5047.119515 0.067
5048.050027 0.299
5048.210005 0.252
5048.846514999999 0.53
5049.8263640000005 0.824
5051.632012 0.826
5052.945704 0.162
5054.645716 0.386
5055.99373 0.195
5056.84318 0.252
5057.490865 0.196
5057.9806530000005 0.289
5058.500545999999 0.138
5060.070794 0.564
4977.66005 0.277
4978.594895 0.677
4980.180120999999 0.708
4981.735785 0.836
4983.256756000001 0.72
4986.227229 0.453
4986.9047630000005 0.179
4991.863173 0.169
4992.786853 0.106
4993.700118 0.447
4994.1354 0.83
4995.410705 0.157
4995.654929 0.206
4996.3715329999995 0.124
4998.227349 0.516
4999.11729 0.313
4999.507249 0.803
5000.34299 0.591
5000.737572 0.113
5000.992174999999 0.374
5001.867606 0.784
5002.797015 0.643
5004.896570000001 0.164
5005.175186 0.237
5005.716257 0.767
5006.121099 0.831
5007.24797 0.838
5007.73254 0.286
5008.054980000001 0.045
5009.6475900000005 0.281
5010.025933 0.359
5010.2286779999995 0.218
5010.941784 0.482
5012.091905 0.871
5012.699071 0.348
5013.302807 0.544
5013.696761 0.458
5014.246472 0.827
5014.9460070000005 0.748
5016.165025 0.615
4935.833008 0.547
4936.341404 0.444
4937.345067 0.63
4938.181501999999 0.622
4938.818894 0.798
4939.238373 0.665
4939.69089 0.792
4942.483848 0.65
4945.448599 0.442
4945.638661 0.406
4946.3930230000005 0.727
4947.605458 0.177
4950.110041 0.625
4952.646164 0.482
4953.211099 0.518
4961.921712 0.273
4962.575327 0.505
4964.931726000001 0.417
4967.900719 0.643
4969.921169 0.633
4970.500116 0.509
4892.8616600000005 0.493
4893.815726 0.161
4896.441919 0.348
4903.306378 0.818
4904.415621 0.693
4905.13724 0.323
4907.735754 0.57
4908.024856 0.343
4909.387228 0.582
4910.020648 0.69
4911.195583000001 0.451
4911.529913 0.246
4911.7803619999995 0.433
4912.024556 0.454
4912.491902 0.117
4913.619044 0.491
4913.976123 0.525
4915.83843 0.063
4917.233569 0.568
4918.01609 0.499
4918.367845000001 0.605
4918.998353 0.862
4919.865791 0.289
4920.511422 0.88
4920.960802 0.379
4921.781276 0.4
4922.262216 0.625
4923.930365 0.813
4924.773169 0.742
4925.281369 0.229
4925.571706 0.502
4927.427866 0.451
4928.335324 0.298
4850.761998 0.06
4851.495929 0.351
4852.557112 0.446
4853.786550000001 0.246
4854.870088 0.502
4856.010645 0.467
4857.393824 0.51
4858.255544 0.259
4859.120615 0.417
4859.74741 0.826
4860.2217820000005 0.376
4861.334341 0.853
4862.5858800000005 0.428
4863.650286 0.624
4864.31816 0.55
4864.734744 0.411
4865.614337999999 0.437
4866.274004999999 0.646
4867.537486 0.195
4867.871572 0.533
4868.271137 0.354
4868.804635 0.086
4869.465558 0.287
4870.121628 0.435
4870.817116 0.624
4871.324214 0.861
4872.143406 0.85
4872.910775 0.157
4873.445516 0.583
4873.754234 0.181
4874.013291 0.379
4874.357465 0.267
4874.795097 0.272
4875.489122999999 0.455
4875.880381999999 0.569
4876.177633 0.087
4876.418543 0.47
4877.607613 0.27
4878.183124 0.858
4880.530205999999 0.133
4881.565253000001 0.506
4881.717097000001 0.589
4882.14873 0.655
4883.688431 0.575
4884.6062440000005 0.24
4885.085575 0.557
4885.43396 0.647
4885.960372 0.178
4886.333442 0.632
4886.721457 0.133
4887.0100999999995 0.58
