     # Wavelength(A)     height(norm)       FWHM(km/s)          Simetry            Slope            rms_%        Intercept          ID
         6230.095015            0.173            4.733           1.0016       -3.639e-06             1.03           1.0254        2501
         6230.734930            0.864            7.877           1.0055        9.078e-06            15.31           1.0579        2502
         6232.646891            0.641            5.862           1.0039        6.259e-06             4.80           0.9880        2503
         6233.196630            0.036            4.522           0.9994        1.140e-05             0.12           0.9318        2504
         6233.505709            0.027            6.872           1.0005       -4.714e-06             0.53           1.0381        2505
         6237.330148            0.379            6.809           1.0093       -2.609e-03             7.17          17.3086        2506
         6238.386692            0.355            5.624           0.9946        2.438e-05             3.36           0.8642        2507
         6240.652013            0.488            4.482           1.0032       -3.785e-05             2.20           1.2528        2508
         6242.827436            0.074            4.938           1.0010       -1.689e-06             0.57           1.0187        2509
         6243.114093            0.245            5.055           1.0020       -5.380e-06             2.83           1.0608        2510
         6243.820517            0.347            6.065           1.0049       -1.587e-05             9.23           1.1756        2511
         6244.111569            0.022            3.102           0.9998        1.520e-06             2.71           0.9923        2512
         6244.474571            0.322            6.215           1.0031       -5.699e-06             5.19           1.0715        2513
         6245.620176            0.297            5.092           1.0029       -6.888e-06             0.78           1.0476        2514
         6246.323386            0.752            7.082           1.0036        6.312e-06            11.88           1.0394        2515
         6247.562314            0.530            5.136           1.0026        1.377e-05            17.01           1.0864        2516
         6248.907061            0.030            6.286           1.0029       -4.007e-04             0.96           3.5094        2517
         6249.629189            0.054            5.392           0.9943        1.577e-05             1.67           0.9072        2518
         6251.232798            0.012            6.411           1.0006       -2.399e-04             0.36           2.5003        2519
         6251.823560            0.111            5.289           1.0006       -3.525e-07             0.16           1.0042        2520
         6252.562064            0.810            6.879           1.0020        4.624e-06             7.63           1.0289        2521
         6253.833959            0.165            4.655           1.0041       -4.803e-04             4.80           4.0450        2522
         6254.241964            0.748            7.782           0.9947        9.076e-06            13.80           1.0546        2523
         6254.807863            0.018           10.046           0.9980       -2.917e-04             0.99           2.8310        2524
         6255.954408            0.194            4.280           1.0020       -6.261e-06             0.70           1.0435        2525
         6256.365185            0.722            6.000           1.0018        2.783e-06             4.47           1.0171        2526
         6256.904742            0.023            4.559           0.9998        1.667e-06             0.21           0.9904        2527
         6257.580397            0.021            4.807           1.0010       -2.720e-06             0.22           1.0190        2528
         6258.109865            0.490            4.706           1.0038       -7.475e-07             0.60           1.0051        2529
         6261.979752            0.013            4.486           1.0008       -8.738e-05             0.17           1.5508        2530
         6265.138797            0.697            5.548           1.0037        1.350e-06             2.92           1.0075        2531
         6265.616842            0.031            4.513           1.0002        4.218e-06             0.10           0.9752        2532
         6266.320572            0.022            4.679           0.9999        1.270e-06             0.10           0.9941        2533
         6267.748019            0.031           10.476           0.9992        4.777e-06             0.70           0.9792        2534
         6268.536830            0.011            4.243           1.0004        2.353e-06             0.14           0.9866        2535
         6268.839751            0.023            5.957           0.9998        5.646e-06             0.43           0.9690        2536
         6269.967633            0.047            3.735           1.0011       -4.222e-06             1.34           1.0348        2537
         6270.231883            0.527            4.589           1.0045       -4.218e-04             8.05           3.7171        2538
         6271.283634            0.219            4.260           1.0025       -3.276e-05             1.84           1.2120        2539
         6271.769687            0.028            4.258           0.9997        1.032e-05             0.91           0.9360        2540
         6274.658239            0.066            4.613           0.9994        1.443e-07             0.25           0.9996        2541
         6276.605673            0.309            3.190           0.9922       -2.347e-04             6.74           2.4964        2542
         6278.090533            0.495            5.337           1.0069        1.035e-06            18.09           1.0501        2543
         6279.327231            0.082            6.103           0.9958       -1.006e-04             5.04           1.6655        2544
         6280.622975            0.646            4.294           1.0088        4.421e-06             8.62           1.0297        2545
         6282.726979            0.236            9.671           0.9737        4.178e-06            10.42           1.0486        2546
         6285.167828            0.093            4.274           1.0003        6.664e-08             0.35           1.0002        2547
         6285.808340            0.012            3.830           1.0009       -1.115e-04             0.24           1.7031        2548
         6286.143743            0.170            5.244           0.9986        5.322e-06             1.93           0.9829        2549
         6288.317055            0.039            5.174           1.0000        4.773e-07             0.37           0.9978        2550
         6290.549072            0.035            3.839           1.0014       -7.713e-06             0.67           1.0515        2551
         6290.973833            0.505            5.912           1.0178       -1.891e-03             8.53          12.9549        2552
         6293.931738            0.112            4.676           0.9994        3.512e-06             0.66           0.9820        2553
         6296.492735            0.068            5.216           0.9963       -4.140e-06             1.04           1.0306        2554
         6297.798798            0.659            5.095           1.0071       -4.744e-06             2.01           1.0411        2555
         6300.683929            0.055            4.663           1.0006       -5.469e-07             0.29           1.0048        2556
         6301.505196            0.750            7.202           1.0037        5.805e-06            11.38           1.0368        2557
         6302.499425            0.757            5.522           1.0047        1.505e-05            19.37           1.0950        2558
         6303.465427            0.042            4.743           0.9996        6.321e-07             0.11           1.0005        2559
         6303.765073            0.072            4.337           1.0004        3.511e-07             0.20           1.0030        2560
         6304.342962            0.034            6.334           0.9996        3.967e-06             0.10           0.9780        2561
         6305.301898            0.034            6.060           1.0001       -8.851e-06             0.21           1.0576        2562
         6307.557274            0.013            5.875           1.0008       -2.118e-06             0.17           1.0164        2563
         6307.887521            0.035            5.691           1.0022       -2.040e-05             0.69           1.1369        2564
         6308.412369            0.010            4.586           1.0000        5.051e-07             0.34           0.9972        2565
         6308.847622            0.043            6.101           1.0002       -3.625e-06             0.08           1.0253        2566
         6310.278970            0.094            6.148           1.0012       -1.246e-06             2.30           1.0237        2567
         6312.244389            0.072            4.173           1.0014       -1.035e-06             0.26           1.0077        2568
         6312.783115            0.019            5.392           1.0023       -2.411e-04             0.38           2.5253        2569
         6314.666466            0.653            5.520           1.0001        8.082e-06            10.36           1.0507        2570
         6315.327790            0.500            7.092           1.0129        5.296e-05            13.97           0.7993        2571
         6315.816660            0.391            4.677           1.0037       -1.634e-06             0.82           1.0124        2572
         6316.584115            0.028            4.647           1.0003        6.516e-06             0.09           0.9591        2573
         6318.025787            0.747            6.296           1.0007        2.844e-06             6.58           1.0183        2574
         6318.718576            0.254            7.843           1.0022        1.012e-06             5.47           1.0142        2575
         6320.841492            0.068            5.113           1.0008       -5.346e-06             0.19           1.0367        2576
         6322.169904            0.149            5.051           0.9982        2.354e-06             0.58           0.9875        2577
         6322.693427            0.643            5.359           1.0050       -3.532e-06             1.90           1.0328        2578
         6325.144101            0.012            5.293           0.9994        2.286e-06             0.37           0.9863        2579
         6326.847017            0.017            4.560           1.0009       -1.835e-06             0.43           1.0120        2580
         6327.607097            0.355            4.585           1.0007        1.771e-06             0.66           0.9922        2581
         6330.096936            0.262            4.300           1.0017       -9.704e-06             0.53           1.0621        2582
         6330.852628            0.308            4.778           1.0027       -3.673e-05             0.81           1.2355        2583
         6331.959893            0.102            5.683           1.0026       -5.963e-06             0.81           1.0432        2584
         6335.335326            0.840            5.781           1.0050        1.232e-05            15.12           1.0783        2585
         6336.103947            0.048            4.103           1.0010       -6.313e-06             0.44           1.0429        2586
         6336.829557            0.718            6.614           1.0034        4.149e-06             9.25           1.0313        2587
         6338.879871            0.405            6.550           1.0059       -1.351e-05            11.72           1.1786        2588
         6344.154170            0.537            4.834           0.9992        2.206e-03             4.07         -12.9856        2589
         6347.093004            0.285            7.013           1.0020       -1.578e-05             4.14           1.1231        2590
         6347.838645            0.030            5.584           0.9988        3.454e-06             0.16           0.9802        2591
         6350.486702            0.034            8.251           1.0015        6.138e-05             0.69           0.6170        2592
         6351.270452            0.022            4.597           1.0011       -1.758e-04             0.13           2.1191        2593
         6352.459576            0.198           13.478           1.0018        2.247e-03            95.24           6.8385        2594
         6352.925771            0.022            5.830           0.9999        2.150e-06             0.05           0.9877        2595
         6353.836689            0.012            3.442           0.9999        5.209e-07             0.06           0.9975        2596
         6354.573392            0.010            6.852           1.0007       -2.999e-06             0.14           1.0214        2597
         6355.037236            0.564            5.279           1.0417       -1.694e-04             7.81           2.0993        2598
         6361.257311            0.016           15.729           1.0024        7.066e-05             3.41           0.5598        2599
         6362.350588            0.178            5.366           1.0020        4.928e-06             4.12           0.9720        2600
         6364.369657            0.246            4.528           1.0038       -4.730e-06             3.77           1.0499        2601
         6364.696004            0.097            4.200           0.9955        1.022e-03             3.33          -5.4894        2602
         6366.487180            0.204            5.125           0.9932        2.951e-05             5.10           0.8422        2603
         6367.124078            0.022            4.627           1.0004       -7.203e-08             0.29           1.0060        2604
         6367.435277            0.023            5.273           1.0002        2.944e-07             0.03           1.0015        2605
         6369.463511            0.172            4.854           1.0023       -1.543e-06             4.76           1.0578        2606
         6371.355746            0.212            6.872           1.0024       -1.524e-05             2.66           1.1128        2607
         6375.215493            0.016            5.339           1.0008       -2.283e-04             0.11           2.4583        2608
         6376.191628            0.017            4.891           0.9998        8.328e-06             0.12           0.9485        2609
         6378.256650            0.270            5.085           1.0018       -5.356e-06             0.86           1.0386        2610
         6381.650088            0.010            5.250           1.0002       -1.890e-08             0.40           1.0004        2611
         6382.139160            0.014            5.768           0.9996       -5.195e-07             0.26           1.0044        2612
         6383.716276            0.082            5.319           1.0014       -6.391e-06             0.68           1.0461        2613
         6384.662461            0.207            5.036           0.9993        1.446e-05             4.40           0.9459        2614
         6385.452018            0.031            4.542           1.0005       -1.611e-06             0.54           1.0161        2615
         6385.723154            0.095            4.551           1.0009        8.148e-07             1.44           1.0086        2616
         6390.491193            0.022            4.572           1.0003        1.176e-06             0.19           0.9937        2617
         6391.251795            0.013            4.662           1.0010       -4.548e-06             0.12           1.0313        2618
         6392.543633            0.168            4.174           1.0016       -1.581e-06             0.50           1.0150        2619
         6393.609228            0.815            7.263           1.0018        6.054e-06            10.25           1.0393        2620
         6394.222101            0.030            6.543           1.0003        1.962e-05             1.23           0.8777        2621
         6395.151728            0.027            9.075           1.0002       -4.671e-06             0.87           1.0356        2622
         6396.377680            0.014            5.384           1.0001       -5.415e-06             0.16           1.0358        2623
         6401.043259            0.234           17.000           0.9898        1.632e-03            95.27          10.6721        2624
         6407.283285            0.170            6.440           0.9994        9.041e-06             4.06           0.9559        2625
         6408.023915            0.665            6.196           1.0061        3.059e-06             8.78           1.0202        2626
         6408.666803            0.047            4.771           0.9992        2.061e-05             2.32           0.8759        2627
         6411.654974            0.763            7.546           1.0021        8.184e-06            14.85           1.0515        2628
         6413.536295            0.014            7.951           0.9998        1.093e-06             0.33           0.9973        2629
         6414.595894            0.143            4.249           1.0033       -7.963e-05             2.89           1.5221        2630
         6414.988033            0.292            6.318           1.0012        8.658e-06             6.94           0.9815        2631
         6415.477676            0.012            6.311           0.9994        4.878e-05             1.27           0.6907        2632
         6416.923564            0.351            5.290           1.0034       -1.326e-06             1.30           1.0163        2633
         6417.697089            0.077            5.678           1.0043       -8.126e-06             1.96           1.0627        2634
         6424.853012            0.090            5.266           1.0008       -2.472e-06             0.28           1.0177        2635
         6426.266309            0.023            5.601           1.0006       -1.155e-04             0.09           1.7444        2636
         6426.690098            0.015            4.502           1.0003       -1.841e-06             0.10           1.0129        2637
         6429.895073            0.024            5.553           1.0002        2.691e-06             0.08           0.9840        2638
         6430.849900            0.774            6.452           1.0026        3.606e-06             6.94           1.0236        2639
         6432.010085            0.018            4.735           0.9995        6.415e-06             0.14           0.9601        2640
         6432.684048            0.357            5.232           1.0043       -1.590e-05             1.15           1.1089        2641
         6433.453053            0.095            6.147           0.9993        3.090e-06             1.07           0.9860        2642
         6436.411511            0.090            4.523           1.0004       -2.955e-06             0.25           1.0208        2643
         6437.697519            0.045            7.040           1.0007       -5.189e-04             0.37           4.3450        2644
         6440.937614            0.049            5.006           1.0001       -2.572e-08             0.10           1.0037        2645
         6442.951525            0.033            6.046           1.0006       -1.188e-07             0.19           1.0026        2646
         6443.473243            0.013            8.021           0.9999       -3.168e-04             0.20           3.0449        2647
         6444.689951            0.014            4.597           1.0000       -1.731e-06             0.06           1.0119        2648
         6446.410485            0.034            5.022           1.0004       -1.316e-06             0.19           1.0123        2649
         6449.125659            0.084           12.972           1.0013       -5.042e-04             5.40           4.2909        2650
         6451.547515            0.027            5.963           1.0003       -5.606e-07             0.14           1.0059        2651
         6452.313274            0.050            6.773           0.9995        3.364e-06             0.69           0.9887        2652
         6452.704340            0.012            4.459           1.0000        7.628e-08             0.30           1.0002        2653
         6453.591834            0.015            7.080           1.0007       -2.417e-04             0.09           2.5620        2654
         6455.001184            0.090            6.404           1.0008       -1.134e-06             0.18           1.0115        2655
         6455.604915            0.484            5.062           1.0044       -4.062e-05             1.61           1.2699        2656
         6456.386467            0.516            5.564           1.0046       -5.629e-05             2.61           1.3758        2657
         6456.877922            0.092            6.401           1.0016       -8.233e-04             2.42           6.3255        2658
         6464.671203            0.109            4.610           1.0017        1.761e-07             1.57           1.0138        2659
         6469.193109            0.445            5.588           0.9997        9.035e-06             3.38           0.9609        2660
         6471.661851            0.741            5.816           1.0020        6.929e-06             9.57           1.0447        2661
         6474.593305            0.234           18.425           1.0015        1.613e-03            95.47          11.7470        2662
         6475.632482            0.501            4.777           1.0052       -4.162e-06             2.99           1.0456        2663
         6477.858666            0.028            5.184           0.9996        8.084e-07             0.08           0.9972        2664
         6481.877297            0.588            4.823           1.0064        1.672e-06             3.73           1.0188        2665
         6482.202162            0.048            4.299           1.0012        9.743e-06             1.06           0.9425        2666
         6482.806322            0.361            4.806           1.0007        1.250e-05             1.35           0.9292        2667
         6486.274111            0.018            6.382           1.0015        2.592e-05             0.23           0.8335        2668
         6486.753772            0.015            4.086           1.0000        2.058e-06             0.08           0.9877        2669
         6489.673741            0.013            8.891           0.9998        2.655e-06             0.11           0.9857        2670
         6490.759865            0.024           14.247           0.9980        4.508e-05             1.24           0.7209        2671
         6491.576928            0.293            6.245           1.0145        4.788e-04             7.16          -2.0514        2672
         6493.030650            0.027            5.096           0.9988       -1.483e-06             0.65           1.0116        2673
         6493.784245            0.825            6.788           1.0035        4.867e-06             9.19           1.0321        2674
         6494.501441            0.241            4.349           1.0040       -2.856e-05             4.23           1.1968        2675
         6494.991039            0.860            8.213           0.9986        9.290e-06            15.47           1.0600        2676
         6495.746455            0.332            4.951           1.0065        2.883e-05             2.53           0.8178        2677
         6496.473295            0.517           10.201           1.0037       -9.396e-06             5.21           1.0909        2678
         6496.908028            0.803            5.134           1.0080       -3.374e-06             8.02           1.0673        2679
         6497.697440            0.023            4.951           0.9996        2.418e-05             0.15           0.8438        2680
         6498.946620            0.454            4.265           1.0040        3.255e-06             5.36           1.0231        2681
         6501.204045            0.055            6.016           0.9999        8.389e-07             0.17           1.0033        2682
         6501.677261            0.223            4.445           1.0021       -1.393e-06             0.79           1.0095        2683
         6504.165783            0.097            5.589           0.9991        4.807e-06             0.85           0.9782        2684
         6506.330296            0.020            5.999           1.0004       -8.999e-05             0.55           1.5865        2685
         6508.121662            0.018            5.313           1.0010       -5.870e-06             0.78           1.0391        2686
         6508.835742            0.073            4.710           0.9989        4.834e-06             0.87           0.9796        2687
         6509.604503            0.033            4.299           0.9998        3.762e-07             0.72           0.9986        2688
         6511.008290            0.130           12.949           1.0022        1.373e-03            95.46          13.3333        2689
         6512.162645            0.222           10.245           0.9983        1.689e-03            95.46          11.2212        2690
         6513.051250            0.021            5.685           1.0013       -5.613e-06             0.72           1.0382        2691
         6514.736103            0.029            6.091           1.0001        2.355e-05             0.70           0.8481        2692
         6516.086951            0.492            5.327           1.0036        4.984e-06            11.11           1.0828        2693
         6516.575571            0.016            8.186           1.0005       -3.370e-06             0.36           1.0260        2694
         6517.033602            0.033            6.404           0.9995        9.312e-06             0.54           0.9413        2695
         6518.373937            0.518            4.729           1.0035       -4.849e-06             3.26           1.0587        2696
         6518.750320            0.125            5.796           1.0038       -3.635e-06             2.74           1.0412        2697
         6525.991140            0.194           15.128           1.0105        1.946e-03            95.48           9.5503        2698
         6526.648154            0.132            5.797           0.9999        3.637e-06             5.13           1.0116        2699
         6527.214821            0.228            6.538           1.0016        1.786e-06             2.90           1.0002        2700
         6528.544262            0.084            5.023           1.0029       -1.556e-05             0.62           1.1040        2701
         6530.573520            0.010            4.682           1.0000       -2.082e-06             1.02           1.0140        2702
         6531.431913            0.048            4.948           1.0008       -3.656e-06             0.64           1.0268        2703
         6532.365478            0.087            3.911           1.0004       -2.826e-06             0.44           1.0210        2704
         6533.939696            0.322            5.457           1.0077       -2.068e-03             2.25          14.5205        2705
         6537.933115            0.029            4.635           1.0007       -4.582e-06             0.76           1.0309        2706
         6538.536958            0.031            7.925           1.0000       -1.506e-05             0.51           1.1014        2707
         6541.277261            0.012            8.256           0.9997       -8.626e-07             0.55           1.0085        2708
         6546.246061            0.736            6.064           1.0041        2.602e-06             5.68           1.0170        2709
         6547.698451            0.047            3.753           1.0007        1.283e-07             1.55           1.0027        2710
         6549.023299            0.295           15.397           0.9878        1.600e-03            95.50          11.5209        2711
         6581.214595            0.168            4.018           0.9991        9.332e-06             1.15           0.9432        2712
         6583.692782            0.090            6.368           0.9992        3.855e-06             0.74           0.9810        2713
         6584.564427            0.027            5.762           1.0000       -1.172e-06             0.24           1.0105        2714
         6586.318318            0.365            4.671           1.0016       -4.641e-06             1.74           1.0462        2715
         6586.686857            0.024            5.152           1.0000        4.161e-06             0.04           0.9763        2716
         6587.626139            0.078            8.178           1.0010       -2.463e-04             0.85           2.6352        2717
         6591.314842            0.091            4.529           1.0008       -1.863e-06             0.68           1.0137        2718
         6592.516587            0.157            4.708           1.0045       -1.847e-05             2.63           1.1344        2719
         6592.919082            0.779            6.313           1.0082        6.529e-06            10.74           1.0434        2720
         6593.879074            0.665            5.539           1.0069        9.143e-07             2.75           1.0132        2721
         6595.308294            0.015            4.491           0.9996        6.502e-04             0.65          -3.2881        2722
         6595.873197            0.032            6.629           1.0018       -3.305e-05             0.26           1.2254        2723
         6597.563284            0.381            4.977           1.0031        1.152e-05             0.96           0.9293        2724
         6603.212850            0.111            3.448           1.0014        1.435e-03            95.45          12.4474        2725
         6604.593374            0.308            4.863           1.0022        1.938e-05             0.99           0.8749        2726
         6606.954888            0.062            4.633           1.0007        5.570e-07             1.79           1.0120        2727
         6608.032027            0.167            4.183           1.0010        4.277e-06             0.40           0.9729        2728
         6609.118783            0.569            4.865           1.0013        1.542e-05             3.50           0.9178        2729
         6609.561918            0.074            9.091           1.0079       -1.422e-05             2.15           1.0967        2730
         6612.197762            0.024            5.019           0.9997        8.654e-07             0.44           0.9988        2731
         6613.429615            0.087            4.877           1.0009       -2.590e-06             0.66           1.0216        2732
         6613.791441            0.061            7.782           0.9999        6.792e-06             0.93           0.9658        2733
         6627.550386            0.248            4.661           1.0032       -7.710e-06             3.19           1.0757        2734
         6629.654832            0.012            4.632           1.0006       -1.928e-04             0.08           2.2800        2735
         6630.013815            0.054            4.379           0.9998        4.552e-05             0.20           0.7003        2736
         6633.417357            0.221            4.507           1.0024       -4.183e-05             3.95           1.2944        2737
         6633.754273            0.552            5.252           1.0034        3.846e-06            10.35           1.0535        2738
         6634.112471            0.243            4.613           1.0068       -1.539e-05             4.83           1.1182        2739
         6635.126399            0.198            5.149           1.0000        6.486e-04             0.85          -3.3012        2740
         6635.689287            0.074            5.974           1.0001        1.304e-06             0.39           0.9927        2741
         6636.345433            0.013            6.127           0.9995        7.301e-05             0.18           0.5170        2742
         6643.631380            0.672            6.121           1.0011        1.907e-06             4.15           1.0131        2743
         6644.313376            0.019            4.804           1.0003        2.315e-06             0.16           0.9855        2744
         6645.116307            0.029            5.435           1.0020       -7.774e-04             0.84           6.1707        2745
         6652.306130            0.015            7.221           0.9991       -9.486e-07             0.16           1.0095        2746
         6653.858773            0.086            4.523           1.0008       -4.966e-06             0.25           1.0337        2747
         6655.526173            0.019            7.684           1.0001        1.462e-06             0.03           0.9924        2748
         6664.313357            0.014            5.477           0.9999        4.956e-07             0.10           0.9974        2749
         6665.217775            0.022           12.868           1.0019        7.769e-05             1.58           0.4927        2750
         6665.848903            0.015            4.511           0.9996        2.653e-06             0.14           0.9832        2751
         6666.511463            0.019            5.512           1.0013       -1.106e-03             0.59           8.3757        2752
         6667.725221            0.078            4.670           1.0014       -7.845e-07             0.73           1.0124        2753
         6668.377863            0.034            4.871           0.9998       -4.004e-06             0.49           1.0286        2754
         6668.811040            0.010            7.147           0.9996        5.559e-05             0.54           0.6318        2755
         6669.277895            0.046            5.125           1.0007       -8.035e-07             0.17           1.0064        2756
         6671.815313            0.017           11.286           1.0006       -6.177e-07             0.62           1.0100        2757
         6672.658856            0.022            5.073           1.0002        1.834e-06             0.07           0.9886        2758
         6673.809689            0.011            4.768           1.0001       -7.818e-07             0.03           1.0063        2759
         6674.180046            0.010            5.820           0.9993        1.606e-04             0.14          -0.0701        2760
         6677.991844            0.777            6.948           1.0049        4.988e-06            10.83           1.0344        2761
         6681.320146            0.019           16.497           1.0017        7.532e-07             1.07           1.0114        2762
         6690.822355            0.020            7.747           1.0002        7.706e-07             0.17           0.9972        2763
         6692.297934            0.021            4.167           1.0008       -4.460e-06             0.39           1.0331        2764
         6692.872011            0.016            5.775           1.0000        4.530e-06             0.15           0.9703        2765
         6696.026768            0.263            5.602           1.0032       -1.998e-05             5.86           1.1795        2766
         6696.317512            0.120            4.386           0.9985        1.461e-05             3.16           0.9171        2767
         6697.390511            0.020            8.820           0.9992       -5.107e-05             0.76           1.3466        2768
         6701.373262            0.016            6.121           1.0010       -7.235e-06             0.26           1.0507        2769
         6703.572986            0.342            4.370           1.0029        1.687e-06             1.25           0.9942        2770
         6704.486386            0.052            4.672           1.0005       -5.711e-06             0.19           1.0388        2771
         6705.106680            0.383            5.103           1.0039        7.334e-06             1.69           0.9582        2772
         6707.436061            0.046            5.117           1.0022       -7.044e-06             0.40           1.0501        2773
         6708.920084            0.012           16.551           1.0008        1.950e-05             0.47           0.8777        2774
         6709.892020            0.019            4.432           1.0000        1.241e-06             0.23           0.9926        2775
         6710.322167            0.143            4.076           1.0005       -2.622e-06             0.34           1.0198        2776
         6711.818290            0.023            4.480           0.9999        1.346e-05             0.11           0.9104        2777
         6712.452687            0.027            5.279           1.0000       -8.621e-09             0.31           1.0004        2778
         6713.050999            0.201            4.904           1.0147       -1.221e-04             3.42           1.8279        2779
         6713.745738            0.183            4.744           1.0007        1.276e-07             0.53           1.0017        2780
         6715.391344            0.212            5.079           1.0043       -1.612e-05             1.44           1.1137        2781
         6716.240697            0.125            4.654           0.9981        7.646e-07             0.88           0.9999        2782
         6721.848544            0.252            6.754           1.0031       -6.500e-06             4.13           1.0677        2783
         6724.651269            0.033            5.754           1.0013       -5.974e-06             0.27           1.0418        2784
         6725.359000            0.149            4.698           1.0010       -1.139e-06             0.51           1.0089        2785
         6725.808966            0.108            9.903           0.9998        1.762e-03            95.46          10.1611        2786
         6726.671274            0.396            5.082           1.0025       -3.255e-06             2.33           1.0338        2787
         6728.605664            0.011            3.964           0.9997        3.337e-06             0.05           0.9781        2788
         6729.023238            0.072            5.000           1.0005       -4.619e-06             0.35           1.0341        2789
         6729.737784            0.026            5.002           1.0003        8.340e-07             0.11           0.9952        2790
         6730.295575            0.035            5.131           1.0000        2.681e-07             0.23           0.9986        2791
         6732.071871            0.067            4.461           1.0000        3.200e-06             0.17           0.9802        2792
         6733.157277            0.233            4.761           1.0016        4.367e-06             1.76           0.9840        2793
         6734.245771            0.023           10.172           0.9986        5.063e-04             0.42          -2.4018        2794
         6735.441594            0.025            4.958           1.0005       -9.526e-05             0.15           1.6433        2795
         6735.839713            0.010            7.338           0.9999        1.723e-07             0.04           1.0015        2796
         6736.532123            0.016            4.600           1.0007       -4.833e-06             0.17           1.0342        2797
         6737.983173            0.187            4.500           1.0016        1.100e-06             5.11           1.0367        2798
         6738.218370            0.050            3.423           1.0000        3.256e-06             2.28           0.9885        2799
         6738.836746            0.047            5.217           0.9974        6.260e-05             1.45           0.5876        2800
         6741.635053            0.092            6.488           1.0004       -2.233e-06             0.92           1.0212        2801
         6743.132452            0.151            4.515           1.0026       -7.084e-07             3.83           1.0368        2802
         6745.108383            0.074            4.490           1.0010       -2.072e-06             0.16           1.0149        2803
         6745.554290            0.023            5.271           0.9999        3.092e-06             0.08           0.9808        2804
         6745.966799            0.057            4.783           1.0007       -1.045e-05             0.23           1.0741        2805
         6746.962737            0.036            4.366           1.0007       -5.158e-06             0.20           1.0355        2806
         6748.133129            0.025            3.540           1.0019       -1.954e-05             1.59           1.1375        2807
         6748.790828            2.260           21.676           0.9877        1.718e-03            95.76          12.4767        2808
         6750.157948            0.623            5.074           1.0063        2.674e-07             1.80           1.0072        2809
         6752.710953            0.315            4.718           1.0034        4.332e-05             6.54           0.7553        2810
         6753.464386            0.051            4.792           0.9998        1.004e-06             0.64           0.9951        2811
         6754.907664            0.019            5.817           0.9987        1.436e-05             1.07           0.9107        2812
         6755.609892            0.124            4.351           1.0005        7.754e-07             0.33           0.9964        2813
         6756.544177            0.025            5.960           1.0002        1.008e-06             0.68           1.0015        2814
         6757.156960            0.082            9.280           0.9949       -1.779e-04             2.93           2.2236        2815
         6763.674381            0.012            5.737           1.0006       -4.157e-05             0.33           1.2849        2816
         6767.780227            0.644            5.277           1.0038       -3.958e-08             2.35           1.0125        2817
         6769.654796            0.017            5.576           1.0001       -6.218e-06             0.08           1.0435        2818
         6771.037717            0.089            8.860           0.9997       -6.919e-06             0.95           1.0588        2819
         6772.321221            0.413            4.938           1.0025        4.029e-07             1.50           1.0026        2820
         6774.252919            0.010            7.170           0.9997        5.408e-07             0.18           0.9973        2821
         6774.831195            0.013            8.383           0.9996        2.405e-06             0.12           0.9855        2822
         6783.707061            0.083            4.544           0.9989       -9.205e-07             1.58           1.0090        2823
         6785.765168            0.030            7.281           1.0008       -7.542e-04             0.65           6.1237        2824
         6786.863655            0.219            4.630           1.0013       -1.196e-05             3.72           1.1127        2825
         6789.133571            0.020            7.327           1.0004       -4.691e-08             0.17           1.0058        2826
         6793.260350            0.112            4.524           1.0008       -1.816e-06             0.57           1.0166        2827
         6793.621196            0.121            4.947           1.0000        1.339e-06             1.41           1.0011        2828
         6794.308926            0.029            4.188           1.0001       -1.166e-06             0.61           1.0099        2829
         6794.618467            0.030            4.823           0.9994        2.256e-06             0.65           0.9887        2830
         6795.407935            0.031            5.449           0.9996        6.525e-06             0.18           0.9587        2831
         6795.800724            0.044            6.077           1.0003       -2.369e-06             0.81           1.0264        2832
         6796.116371            0.084            5.184           0.9992        1.982e-06             1.34           0.9986        2833
         6804.003210            0.171            4.313           0.9996        9.784e-06             3.09           0.9493        2834
