wmask fmask
6700.749607379748 -1.0
6700.804299666995 -1.0
6701.382697072305 -1.0
6701.545924162515 -1.0
6701.871946459027 -1.0
6702.014185195245 -1.0
6702.737271676683 -1.0
6703.224850512043 -1.0
6703.3549585113615 -1.0
6703.8957560298495 -1.0
6704.050553387302 -1.0
6705.975068664804 -1.0
6706.091192425693 -1.0
6706.251942181468 -1.0
6707.498030962876 -1.0
6707.76166404097 -1.0
6707.915951534899 -1.0
6708.0792596021065 -1.0
6708.142722529433 -1.0
6708.287037706032 -1.0
6708.3941738844405 -1.0
6710.326160142547 -1.0
6710.5427998619825 -1.0
6711.494669788651 -1.0
6711.857327225787 -1.0
6712.016404430457 -1.0
6712.1947684465085 -1.0
6712.345990764262 -1.0
6712.523204089806 -1.0
6712.706036903545 -1.0
6712.854543951679 -1.0
6713.457784665582 -1.0
6714.4967381614115 -1.0
6714.685624346227 -1.0
6715.188058178559 -1.0
6715.41606783798 -1.0
6715.514253423464 -1.0
6715.953994121467 -1.0
6717.384741210755 -1.0
6717.677548437189 -1.0
6720.804393219945 -1.0
6721.078834386316 -1.0
6721.6176784194395 -1.0
6721.711922064746 -1.0
6721.867585186136 -1.0
6721.956103371758 -1.0
6722.431803392255 -1.0
6722.565625389533 -1.0
6722.890062104814 -1.0
6723.340913809882 -1.0
6725.370396804876 -1.0
6725.470040996831 -1.0
6726.310560864847 -1.0
6728.758658228489 -1.0
6729.933161237677 -1.0
6730.885024145293 -1.0
6731.571925338462 -1.0
6731.670619785243 -1.0
6732.012070919534 -1.0
6732.068197818861 -1.0
6732.64940844673 -1.0
6596.112913277331 -1.0
6596.96021045001 -1.0
6597.05305448539 -1.0
6597.377818160345 -1.0
6598.032484128157 -1.0
6598.126313898363 -1.0
6598.6751163312065 -1.0
6599.482163324171 -1.0
6600.730907547526 -1.0
6601.12919545092 -1.0
6602.762434283349 -1.0
6603.027847915004 -1.0
6603.463970643684 -1.0
6603.620424573914 -1.0
6603.786473923946 -1.0
6603.861190832873 -1.0
6604.0118833122615 -1.0
6604.1061819557135 -1.0
6604.8533410470955 -1.0
6608.445046240049 -1.0
6610.7113838154855 -1.0
6610.915241997145 -1.0
6612.588218124794 -1.0
6612.768311696455 -1.0
6612.867764952809 -1.0
6614.114982566636 -1.0
6614.3472161170885 -1.0
6614.442150588395 -1.0
6615.072220157006 -1.0
6615.157561207992 -1.0
6615.275465502399 -1.0
6615.339684233362 -1.0
6616.686948939717 -1.0
6616.844806490019 -1.0
6617.058889920495 -1.0
6618.164873507768 -1.0
6618.399347454626 -1.0
6622.60221823599 -1.0
6623.4870862782545 -1.0
6623.625525049369 -1.0
6623.780471381252 -1.0
6626.121977700653 -1.0
6628.167738546938 -1.0
6628.3383786575305 -1.0
6629.021160040144 -1.0
6629.239828234556 -1.0
